new_id,prob
2,0.2421
3,0.7507
4,0.2887
8,0.002
13,0.0171
14,0.0012
16,0.9977
17,0.9174
18,1.0
20,0.9896
23,0.939
25,0.9818
26,0.0364
28,0.005
31,0.9468
33,0.076
34,0.1786
35,0.2339
37,0.002
43,0.9996
44,0.4577
45,0.126
47,0.0536
53,0.9624
55,0.0504
56,0.9956
57,0.9913
59,0.996
60,0.9978
61,0.9499
64,0.0097
67,0.9718
68,0.883
72,0.8187
74,0.9569
76,0.0276
79,0.5051
81,0.2108
82,0.1233
84,0.0735
85,0.0119
87,0.0062
89,0.046
90,0.4661
92,0.7625
93,0.9003
97,0.0102
101,0.5448
104,0.9329
105,0.96
106,0.0388
109,0.0033
110,0.9393
111,0.8706
112,0.4383
113,0.9969
114,0.9694
115,0.9759
125,0.4422
126,0.9973
128,0.2332
130,0.6813
132,0.9896
133,0.9763
136,0.9829
138,0.017
139,0.9586
141,0.9327
142,0.9476
143,0.2867
144,0.8286
146,0.9872
148,0.9436
149,0.946
153,0.9558
154,0.0015
156,0.7779
158,0.0026
159,0.9181
160,0.2101
168,0.0217
169,0.8354
171,0.0249
172,0.1291
174,0.6482
175,0.0072
178,0.8995
180,0.8467
181,0.9667
183,0.9466
184,0.9906
185,0.0055
186,0.689
187,0.8931
188,0.1263
189,0.6642
190,0.91
192,0.9925
194,0.0257
195,0.4461
196,0.7911
197,0.8036
200,0.0311
202,0.9988
207,0.6976
209,0.4567
213,0.6939
214,0.6095
215,0.0232
217,0.3895
218,0.6559
219,0.9576
221,0.7663
222,0.0303
224,0.0937
225,0.834
226,0.8131
228,0.0294
230,0.3919
237,0.9867
240,0.9681
241,0.0086
245,0.0027
247,0.0181
248,0.0051
249,0.9912
250,0.0507
255,0.8896
258,0.049
259,0.0069
264,0.6507
266,0.9096
267,0.9382
268,0.0116
269,0.0141
270,0.9354
272,0.4524
275,0.0009
276,0.7593
277,0.9832
278,0.374
280,0.8136
282,0.621
285,0.3047
286,0.0119
288,0.0355
289,0.0246
291,0.9982
292,0.9977
293,0.8678
296,0.1099
303,0.4227
304,0.987
305,0.8938
306,0.9868
309,0.1229
310,0.0728
311,0.1164
314,0.826
315,0.8086
316,0.0151
317,0.0389
318,0.5396
320,0.012
325,0.0108
331,0.9879
332,0.4701
336,0.8033
337,0.0046
340,0.6127
342,0.4518
343,0.7502
344,0.5812
349,0.0215
351,0.0119
352,0.9763
353,0.6446
356,0.4068
357,0.883
359,0.0006
360,0.9453
364,0.729
367,0.2179
369,0.0159
370,0.0161
374,0.9858
377,0.0949
378,0.9647
379,0.0667
382,0.9908
387,0.0839
388,0.0489
389,0.6251
396,0.9874
397,0.1386
398,0.9896
400,0.8004
401,0.9196
406,0.9981
408,0.815
409,0.1087
412,0.8574
413,0.499
416,0.0406
420,0.0495
421,0.9436
422,0.9946
423,0.704
424,0.0095
426,0.0005
427,0.0132
430,0.0362
431,0.3598
436,0.9916
438,0.0133
439,0.0339
444,0.891
446,0.9559
447,0.6246
449,0.0046
453,0.0838
456,0.9957
457,0.0377
463,0.9143
464,0.0986
471,0.0002
472,0.0116
473,0.9629
478,0.9597
479,0.0078
480,0.1978
483,0.0446
489,0.8265
492,0.001
493,0.0333
494,0.9334
495,0.9489
496,0.0052
497,0.0877
498,0.0195
499,0.9141
500,0.9935
501,0.0821
504,0.9994
505,0.9959
507,0.9135
509,0.1524
510,0.7164
512,0.0302
513,0.3453
517,0.0136
520,0.1803
521,0.622
522,0.999
523,0.0767
525,0.9684
526,0.1024
527,0.7257
531,0.9512
534,0.8801
535,0.9963
538,0.0745
539,0.9733
542,0.013
544,0.0075
545,0.7992
549,0.0098
552,0.0083
554,0.1884
561,0.7632
565,0.2098
569,0.932
572,0.7883
573,0.9229
574,0.1381
575,0.9923
576,0.0261
579,0.238
582,0.0152
583,0.9852
587,0.1063
588,0.9988
590,0.9737
591,0.8955
595,0.507
596,0.0914
597,0.9765
600,0.0694
602,0.1669
605,0.4268
606,0.0234
611,0.0032
617,0.9677
619,0.0101
620,0.0577
621,0.0974
623,0.9696
624,0.0763
626,0.0703
627,0.0952
628,0.0159
630,0.0201
633,0.0039
637,0.9974
638,0.9981
639,0.0046
640,0.0567
641,0.8923
643,0.0863
647,0.052
649,0.8375
650,0.7049
651,0.4183
656,0.9467
657,0.9597
658,0.4513
660,0.0164
661,0.1937
664,0.5517
667,0.0015
668,0.0176
671,0.0808
672,0.436
674,0.3673
676,0.4956
678,0.0486
680,0.9501
681,0.0161
682,0.9987
685,0.0106
687,0.362
691,0.6109
692,0.2081
694,0.6455
696,0.7723
697,0.0125
698,0.1454
700,0.0029
704,0.9232
705,0.3771
707,0.0026
708,0.118
710,0.1677
711,0.9921
712,0.6606
713,0.0124
715,0.8937
717,0.0207
720,0.0028
723,0.0101
724,0.0311
728,0.9774
729,0.1183
731,0.0128
737,0.9426
738,0.2899
739,0.9841
740,0.7685
742,0.9842
743,0.4731
744,0.1322
747,0.0023
748,0.4966
749,0.9672
750,0.9995
752,0.9952
754,0.2742
756,0.0012
760,0.3557
761,0.0015
765,0.4816
766,0.1988
770,0.6948
771,0.0798
773,0.0453
774,0.2329
778,0.0005
779,0.5289
