split_1	split_2	split_3
2	9245	8403
3	35118	40376
4	28666	19247
8	8403	16386
13	47189	30103
14	47170	30217
16	6458	6231
17	41667	14728
18	23398	28876
20	27495	31544
23	27629	25596
25	11943	25246
26	38017	26696
28	9039	27856
31	20259	43384
33	42665	41473
34	48805	5571
35	11288	35173
37	22233	44859
43	3748	13982
44	33082	11406
45	19370	767
47	41827	6447
53	7522	4667
55	17356	11839
56	24427	39538
57	7459	29971
59	17844	45483
60	48106	28006
61	6615	37764
64	521	18948
67	8228	18653
68	40484	8510
72	43415	22651
74	25697	12912
76	31338	16802
79	42192	44448
81	14233	10090
82	33336	28938
84	7518	10374
85	49048	14063
87	14839	39282
89	5750	8644
90	8154	28513
92	47161	20946
93	39708	13370
97	48690	2389
101	17439	5170
104	25075	15687
105	40481	39993
106	356	11455
109	734	10640
110	34135	43810
111	46437	49609
112	13756	42167
113	40549	45472
114	39250	23538
115	49389	11209
125	30663	6384
126	35468	13968
128	38456	40757
130	44296	2878
132	31218	40092
133	12999	5213
136	42899	38282
138	21846	15221
139	19382	38414
141	23045	26997
142	10919	18094
143	3293	4622
144	13766	37935
146	15498	37987
148	2106	45099
149	9221	48244
153	9156	25725
154	37717	27433
156	14382	8174
158	43326	8218
159	20101	39256
160	28590	37497
168	17505	39148
169	33546	32665
171	1251	18875
172	20022	428
174	9983	47687
175	42754	41860
178	48493	10653
180	16158	24693
181	36596	31757
183	16974	45973
184	48750	587
185	19815	13346
186	18965	21739
187	27968	41397
188	23147	43466
189	9821	12530
190	21307	16187
192	4643	15283
194	5755	9197
195	21959	33932
196	10027	38241
197	21339	34038
200	48930	10436
202	41361	35524
207	14319	30202
209	29734	16993
213	44854	2055
214	22621	20045
215	7355	3945
217	6420	15594
218	1231	16219
219	36734	3910
221	18627	7495
222	28654	7605
224	41173	45568
225	40592	35032
226	43534	40933
228	5515	33201
230	47523	10784
237	28383	23099
240	1839	35757
241	12235	41010
245	48825	40937
247	44178	9973
248	12020	29983
249	37766	21439
250	28071	31799
255	15217	20948
258	34594	43881
259	16754	15996
264	10279	15725
266	45844	24614
267	1138	16839
268	48060	11110
269	15751	41401
270	33191	26853
272	26605	4922
275	40778	5465
276	9238	28614
277	19921	26825
278	8898	24307
280	14232	15917
282	31385	33893
285	14963	42956
286	22120	42235
288	36405	13325
289	33311	30182
291	15538	41426
292	23859	29496
293	14528	9913
296	9082	38517
303	17984	6238
304	45053	44276
305	19643	15421
306	38874	32364
309	14164	13080
310	42553	8053
311	8586	5259
314	3951	21815
315	14557	1920
316	41885	47781
317	47112	25306
318	2241	18057
320	37796	43831
325	14796	37601
331	32446	37851
332	4236	44333
336	48612	8988
337	679	39193
340	26853	27277
342	48125	24788
343	5037	5421
344	12794	29236
349	44603	44711
351	19330	9352
352	39576	26406
353	17409	33380
356	6913	39008
357	32410	49826
359	27103	28219
360	47093	9795
364	28484	15315
367	47509	8026
369	38870	4898
370	5893	12831
374	41701	17018
377	4342	42544
378	37291	6174
379	3247	17332
382	3871	16150
387	5235	23504
388	20257	42398
389	48562	16040
396	8210	27801
397	25055	35149
398	10039	19461
400	9947	41051
401	8872	45148
406	13640	20774
408	6506	13902
409	42763	36429
412	32129	42852
413	30019	17067
416	48402	24547
420	18757	42519
421	40788	19284
422	11291	36176
423	10283	34065
424	9675	42101
426	11979	1634
427	48781	36271
430	26102	23731
431	41144	28972
436	33402	10309
438	48677	1438
439	2871	48454
444	16765	12319
446	628	5958
447	18064	34094
449	10439	36554
453	7573	16013
456	46584	40345
457	19966	19406
463	24184	29672
464	33922	16902
471	42510	35742
472	45440	47149
473	23685	4054
478	35522	11719
479	41298	18045
480	33635	16188
483	16907	20731
489	44335	25168
492	26319	30723
493	43513	29134
494	12873	44751
495	26995	28610
496	10749	15589
497	10785	23886
498	23589	29639
499	44423	3354
500	15014	36567
501	27627	32020
504	37578	3352
505	47588	34704
507	47482	17378
509	16587	15627
510	25707	48874
512	7373	37320
513	17753	35068
517	35053	11090
520	4001	12698
521	12515	32351
522	2559	30708
523	36739	12603
525	685	25808
526	2107	2106
527	14019	23422
531	2026	43586
534	31451	47245
535	37546	37604
538	2535	46077
539	31319	27700
542	17762	30805
544	40194	46367
